,recall,precision,f1_score,accuracy,roc_auc,pr_auc
Logistic Regression,0.7142857142857143,0.08814102564102565,0.15691868758915833,0.8648525040018294,0.8792413359452467,0.18667200882802057
Support Vector Machine,0.7142857142857143,0.09046052631578948,0.16058394160583941,0.8685113194603247,0.8777539964690803,0.19049483877201687
Random Forest,0.4675324675324675,0.23376623376623376,0.3116883116883117,0.9636405213812028,0.9084152579264311,0.20386803032849443
XGBoost,0.987012987012987,0.018491484184914843,0.03630284213040363,0.07729247656071347,0.76215718638903,0.04392546700307857
